leaver_id,persona,leaver_type,rank,company_id,company_name,town,blended_score,hybrid_score,cosine_sim,sector_score,entry_score,reasons,website
L001,Technical Specialist,School leaver (Year 11 / 13),1,VACC968FE65,AtkinsRéalis,Cheltenham,0.5088,0.4653,0.6102,0.7917,0.25,"Sector fit: cyber_digital | Entry routes they offer that suit you: apprenticeship | Role families aligned with your work style: analyst, cyber, data, software | Work-style signals: Investigative, Conventional | Your interests: Cybersecurity & digital defence, Software / apps / web",
L001,Technical Specialist,School leaver (Year 11 / 13),2,VAC3CE1A642,CDS Defence & Security,Cheltenham,0.504,0.4631,0.5994,0.7917,0.25,"Sector fit: cyber_digital | Entry routes they offer that suit you: apprenticeship | Role families aligned with your work style: analyst, cyber, data, software | Work-style signals: Investigative, Conventional | Your interests: Cybersecurity & digital defence, Software / apps / web",
L001,Technical Specialist,School leaver (Year 11 / 13),3,VAC996B1AE3,St Roses School,Gloucestershire,0.5037,0.4757,0.569,0.7917,0.3333,"Sector fit: cyber_digital | Entry routes they offer that suit you: apprenticeship | Role families aligned with your work style: analyst, cyber, data, software | Work-style signals: Investigative, Conventional | Your interests: Cybersecurity & digital defence, Software / apps / web",
L002,People & Care,School leaver (Year 11 / 13),1,VAC0B39C2E5,CANAL & RIVER TRUST,Gloucester,0.4982,0.4473,0.6169,0.8333,0.25,"Sector fit: aerospace_manufacturing, construction_green | Entry routes they offer that suit you: apprenticeship | Role families aligned with your work style: engineer_ops, manufacturing, quality, technician | Work-style signals: Realistic, Conventional | Your interests: Aerospace & advanced manufacturing, Mechanical / electrical engineering",
L002,People & Care,School leaver (Year 11 / 13),2,VACDC44CFCC,Scame UK,Gloucestershire,0.495,0.424,0.6608,0.4167,0.6667,"Sector fit: aerospace_manufacturing | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: engineer_ops, manufacturing, quality, technician | Work-style signals: Realistic, Conventional | Your interests: Aerospace & advanced manufacturing, Mechanical / electrical engineering",
L002,People & Care,School leaver (Year 11 / 13),3,VACB1D120FE,HALFORDS AUTOCENTRES LIMITED,Gloucester,0.4924,0.4599,0.5681,0.4167,0.6667,"Sector fit: aerospace_manufacturing | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: engineer_ops, manufacturing, quality, technician | Work-style signals: Realistic, Conventional | Your interests: Aerospace & advanced manufacturing, Mechanical / electrical engineering",
L003,Hands-on Maker,University undergraduate (final year / recent graduate),1,GLC009,Farm491,Cirencester,0.3825,0.321,0.5261,0.2917,0.5,"Sector fit: agri_tech_food | Entry routes they offer that suit you: graduate, internship | Role families aligned with your work style: field_ops, technician | Work-style signals: Realistic, Social | Your interests: Agri-tech & food systems, Environment & sustainability",https://farm491.com
L003,Hands-on Maker,University undergraduate (final year / recent graduate),2,VACD28C8196,MULLER UK & IRELAND GROUP LLP,Gloucestershire,0.3596,0.2816,0.5416,0.2917,0.25,"Sector fit: agri_tech_food | Entry routes they offer that suit you: higher_apprenticeship | Role families aligned with your work style: engineer_ops, field_ops, manufacturing, technician | Work-style signals: Realistic, Social | Your interests: Agri-tech & food systems, Environment & sustainability",
L003,Hands-on Maker,University undergraduate (final year / recent graduate),3,GLC010,Hartpury University and College,Hartpury,0.3489,0.3557,0.3329,0.275,0.4,"Sector fit: agri_tech_food, education_training, health_care | Entry routes they offer that suit you: graduate, internship | Role families aligned with your work style: care, field_ops, teaching_support, technician | Work-style signals: Realistic, Social | Your interests: Agri-tech & food systems, Environment & sustainability",https://www.hartpury.ac.uk
L004,Hands-on Maker,College / FE leaver,1,VACFB2A89CF,Gloucester Road Primary School,Cheltenham,0.5014,0.4749,0.5634,0.65,0.6667,"Sector fit: business_professional, health_care, public_sector | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, care, project_support | Work-style signals: Social, Conventional | Your interests: Healthcare & wellbeing, Public service & community",
L004,Hands-on Maker,College / FE leaver,2,GLC012,NHS Gloucestershire,County-wide,0.5002,0.533,0.4235,0.85,0.4,"Sector fit: health_care, public_sector | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, care, project_support | Work-style signals: Social, Conventional | Your interests: Healthcare & wellbeing, Public service & community",https://www.nhsglos.nhs.uk
L004,Hands-on Maker,College / FE leaver,3,VAC4B61CE8D,Gloucester Road Primary,Cheltenham,0.4905,0.4421,0.6033,0.65,0.6667,"Sector fit: business_professional, health_care, public_sector | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, finance, project_support | Work-style signals: Social, Conventional | Your interests: Healthcare & wellbeing, Public service & community",
L005,Creative / Commercial,University undergraduate (final year / recent graduate),1,GLC017,Superdry,Cheltenham,0.5885,0.5817,0.6042,0.9,0.5,"Sector fit: business_professional, creative_events, hospitality_retail | Entry routes they offer that suit you: graduate, internship | Role families aligned with your work style: content, design, project_coord, sales | Work-style signals: Artistic, Enterprising | Your interests: Creative / design / events, Business / sales / entrepreneurship",https://www.superdry.com
L005,Creative / Commercial,University undergraduate (final year / recent graduate),2,GLC015,Cheltenham Festivals,Cheltenham,0.4723,0.452,0.5196,0.6,0.5,"Sector fit: creative_events, hospitality_retail | Entry routes they offer that suit you: graduate, internship | Role families aligned with your work style: content, events, project_coord | Work-style signals: Artistic, Enterprising | Your interests: Creative / design / events, Business / sales / entrepreneurship",https://www.cheltenhamfestivals.com
L005,Creative / Commercial,University undergraduate (final year / recent graduate),3,VACE2385F47,BBC Public Service,Gloucester,0.3838,0.3511,0.4601,0.6,0.25,"Sector fit: business_professional, creative_events | Entry routes they offer that suit you: higher_apprenticeship | Role families aligned with your work style: content, design, events | Work-style signals: Artistic, Enterprising | Your interests: Creative / design / events, Business / sales / entrepreneurship",
L006,Hands-on Maker,School leaver (Year 11 / 13),1,VACAB9534C0,CLEEVE SCHOOL,Cheltenham,0.5138,0.5086,0.5258,0.5833,0.6667,"Sector fit: construction_green, public_sector | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, field_ops, project_support, technician | Work-style signals: Conventional, Realistic | Your interests: Environment & sustainability, Construction & built environment",
L006,Hands-on Maker,School leaver (Year 11 / 13),2,VAC0E9719C6,CHOSEN HILL SCHOOL,Gloucestershire,0.4612,0.4334,0.526,0.5833,0.6667,"Sector fit: construction_green, public_sector | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, project_support | Work-style signals: Conventional, Realistic | Your interests: Environment & sustainability, Construction & built environment",
L006,Hands-on Maker,School leaver (Year 11 / 13),3,VAC388BBFFA,Heart of the Forest Community Special School,Gloucestershire,0.4534,0.3769,0.632,0.5,0.6667,"Sector fit: business_professional, construction_green, public_sector | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, finance | Work-style signals: Conventional, Realistic | Your interests: Environment & sustainability, Construction & built environment",
L007,Technical Specialist,University undergraduate (final year / recent graduate),1,VAC0F197925,IRESS FS LIMITED,Gloucestershire,0.5308,0.4912,0.6233,0.8333,0.25,"Sector fit: business_professional, cyber_digital | Entry routes they offer that suit you: higher_apprenticeship | Role families aligned with your work style: admin, analyst, cyber, data, software | Work-style signals: Investigative, Conventional | Your interests: Data & AI, Cybersecurity & digital defence",
L007,Technical Specialist,University undergraduate (final year / recent graduate),2,VAC2180442E,North Tower Consulting,Cheltenham,0.5114,0.4563,0.64,0.8333,0.25,"Sector fit: business_professional, cyber_digital | Entry routes they offer that suit you: higher_apprenticeship | Role families aligned with your work style: admin, finance, software | Work-style signals: Investigative, Conventional | Your interests: Data & AI, Cybersecurity & digital defence",
L007,Technical Specialist,University undergraduate (final year / recent graduate),3,VACF54D27FE,KUBUS GROUP LIMITED,Cirencester,0.4995,0.4816,0.5414,0.8333,0.2,"Sector fit: business_professional, cyber_digital | Entry routes they offer that suit you: higher_apprenticeship | Role families aligned with your work style: admin, analyst, cyber, data, software | Work-style signals: Investigative, Conventional | Your interests: Data & AI, Cybersecurity & digital defence",
L008,Creative / Commercial,College / FE leaver,1,VACB53E3213,MONTPELLIER LEGAL LTD,Cheltenham,0.5362,0.519,0.5762,0.7917,0.6667,"Sector fit: business_professional, hospitality_retail | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, customer_success, finance | Work-style signals: Conventional, Social | Your interests: Hospitality / tourism / retail, Business / sales / entrepreneurship",
L008,Creative / Commercial,College / FE leaver,2,VAC16134464,Bell Hotel (Tewkesbury),Gloucestershire,0.5291,0.4926,0.6144,0.7917,0.6667,"Sector fit: business_professional, hospitality_retail | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, customer_success, finance | Work-style signals: Conventional, Social | Your interests: Hospitality / tourism / retail, Business / sales / entrepreneurship",
L008,Creative / Commercial,College / FE leaver,3,VAC5893E87E,Farrar&Tanner,Gloucestershire,0.5287,0.4897,0.6196,0.7917,0.6667,"Sector fit: business_professional, hospitality_retail | Entry routes they offer that suit you: apprenticeship, school_leaver | Role families aligned with your work style: admin, customer_success, finance | Work-style signals: Conventional, Social | Your interests: Hospitality / tourism / retail, Business / sales / entrepreneurship",
