pathway_id,title,service,role_family,sectors,entry_routes,summary,website,profile_text
MIL001,Army Cyber Security / Digital Specialist,Army,cyber_digital,cyber_digital|public_sector,school_leaver|apprenticeship|graduate,"Protects networks and systems. Suits people interested in cyber, software and digital defence. Check current Army roles and eligibility on the official careers site.",https://www.army.mod.uk/careers/,Army cyber digital security networks software public service apprenticeships
MIL002,Army Royal Engineer (Combat / Construction),Army,engineer_ops,construction_green|aerospace_manufacturing,school_leaver|apprenticeship,"Builds, maintains and clears infrastructure. Strong fit for construction, engineering and problem-solving outdoors.",https://www.army.mod.uk/careers/,Army Royal Engineer construction engineering trades apprenticeships built environment
MIL003,Army Medic / Combat Medical Technician,Army,health_care,health_care|education_training,school_leaver|apprenticeship,"Delivers first-line medical care. Pathway for healthcare and wellbeing interests with structured training.",https://www.army.mod.uk/careers/,Army medic healthcare first aid wellbeing training
MIL004,Army Logistics / Driver / Supply Chain,Army,logistics,business_professional|aerospace_manufacturing,school_leaver|apprenticeship,"Moves people and equipment. Good bridge to civilian logistics, transport and operations roles later.",https://www.army.mod.uk/careers/,Army logistics supply chain transport operations apprenticeships
MIL005,Army Intelligence Analyst,Army,analyst,cyber_digital|public_sector|business_professional,school_leaver|graduate,"Collects and interprets information to support decisions. Suits analytical, data-curious profiles.",https://www.army.mod.uk/careers/,Army intelligence analysis data research public service
MIL006,RAF Aircraft Technician / Engineering,RAF,engineer_ops,aerospace_manufacturing|cyber_digital,school_leaver|apprenticeship|higher_apprenticeship,"Maintains aircraft systems. Strong STEM / manufacturing pathway with transferable engineering skills.",https://www.raf.mod.uk/recruitment/,RAF aircraft technician engineering aerospace manufacturing apprenticeships
MIL007,RAF Cyber / Communications Specialist,RAF,cyber_digital,cyber_digital|public_sector,school_leaver|apprenticeship|graduate,"Works on secure communications and cyber defence. Aligns with digital and IT interests.",https://www.raf.mod.uk/recruitment/,RAF cyber communications digital networks security
MIL008,RAF Logistics / Supply,RAF,logistics,business_professional|aerospace_manufacturing,school_leaver|apprenticeship,"Coordinates equipment and supplies for operations. Builds planning and operations experience.",https://www.raf.mod.uk/recruitment/,RAF logistics supply operations business planning
MIL009,Royal Navy Engineering Technician,Navy,engineer_ops,aerospace_manufacturing|construction_green,school_leaver|apprenticeship,"Maintains ship systems and equipment. Hands-on engineering with electrical/mechanical focus.",https://www.royalnavy.mod.uk/careers,Royal Navy engineering technician mechanical electrical apprenticeships
MIL010,Royal Navy Warfare / Operations Specialist,Navy,operations,public_sector|cyber_digital,school_leaver|apprenticeship,"Supports navigation, sensors and operational roles. Suits teamwork and high-responsibility environments.",https://www.royalnavy.mod.uk/careers,Royal Navy warfare operations teamwork sensors
MIL011,Royal Marines Commando (General Duties),Navy,operations,public_sector|health_care,school_leaver,"Physically demanding leadership pathway. Emphasises resilience, teamwork and outdoor challenge.",https://www.royalnavy.mod.uk/careers/royal-marines,Royal Marines commando fitness leadership teamwork outdoor
MIL012,Defence Digital / GCHQ-aligned cyber pathways (civilian-facing),Army,cyber_digital,cyber_digital|public_sector,graduate|higher_apprenticeship|apprenticeship,"Cyber and intelligence-linked careers in the wider defence ecosystem (including civilian routes). Explore official defence and GCHQ careers pages for current schemes.",https://www.gchq.gov.uk/section/careers,Defence digital cyber GCHQ Cheltenham public sector graduate apprenticeships
