programme_id,company_id,programme_title,programme_type,level,summary,evidence_url,last_verified_at,status,confidence
OPP001,GLC001,Engineering Apprenticeship,apprenticeship,Level 3-6,Design manufacture and test precision measurement systems.,https://www.renishaw.com/careers,2026-07-20,active,verified
OPP002,GLC001,Graduate Software / Engineering,graduate,Level 6+,Graduate routes into software metrology and engineering teams.,https://www.renishaw.com/careers,2026-07-20,active,verified
OPP003,GLC003,Aerospace Manufacturing Apprentice,apprenticeship,Level 3-4,Hands-on aerospace manufacturing and quality processes.,https://www.geaerospace.com/careers,2026-07-20,active,verified
OPP004,GLC004,Flight Controls Engineering Pathway,apprenticeship,Level 3-6,Engineering support for aerospace flight control products.,https://www.moog.com/careers,2026-07-20,active,verified
OPP005,GLC006,Cyber Security Apprenticeship (cluster SMEs),apprenticeship,Level 3-4,Entry cyber roles via Cheltenham cyber SME network.,https://cynam.org/careers,2026-07-20,active,verified
OPP006,GLC007,Graduate Analyst / Engineer,graduate,Level 6+,Intelligence and software roles supporting financial crime detection.,https://ripjar.com/careers,2026-07-20,active,verified
OPP007,GLC009,Agri-tech Internship,internship,any,Support startups in food farming and agri-tech innovation.,https://farm491.com/careers,2026-07-20,active,verified
OPP008,GLC010,Land-based / Equine / Sport Pathways,apprenticeship,Level 2-6,Practical and academic pathways into land-based industries.,https://www.hartpury.ac.uk/careers,2026-07-20,active,verified
OPP009,GLC012,Healthcare Support Worker / Nursing Associate routes,apprenticeship,Level 2-5,Patient-facing and clinical support careers in the NHS.,https://www.nhsglos.nhs.uk/careers,2026-07-20,active,verified
OPP010,GLC013,Local Government Apprenticeship / Graduate,apprenticeship,Level 3-6,Digital business environment and community roles in the council.,https://www.gloucestershire.gov.uk/careers,2026-07-20,active,verified
OPP011,GLC015,Events / Marketing Internship,internship,any,Support festival operations marketing and audience experience.,https://www.cheltenhamfestivals.com/careers,2026-07-20,active,verified
OPP012,GLC017,Retail / Commercial / Design Pathways,school_leaver,Level 2-6,Store head office and design-adjacent opportunities.,https://www.superdry.com/careers,2026-07-20,active,verified
OPP013,GLC018,Sustainability / Green Energy Roles,graduate,Level 6+,Commercial and sustainability-focused roles in green energy.,https://www.ecotricity.co.uk/careers,2026-07-20,active,verified
OPP014,GLC002,Mechanical / Manufacturing Apprentice,apprenticeship,Level 3-4,Apprenticeships supporting industrial steam and thermal products.,https://www.spiraxsarco.com/careers,2026-07-20,active,verified
OPP015,GLC011,Food Science Technician / Graduate,graduate,Level 5-6,Lab and applied food science roles.,https://www.campdenbri.co.uk/careers,2026-07-20,active,verified
OPP016,GLC014,Teacher Training (PGCE / QTS),graduate,Level 6-7,Initial teacher training for primary or secondary — PGCE and school-led QTS routes with local placements.,https://www.glos.ac.uk/careers,2026-07-20,active,verified
OPP017,GLC021,Teaching Assistant Apprenticeship,apprenticeship,Level 3,Support teachers in class with learning behaviour and pupil wellbeing — common first step into teaching.,https://www.gloucestershire.gov.uk/education-and-families/careers,2026-07-20,active,verified
OPP018,GLC021,Early Years Educator Pathway,apprenticeship,Level 2-3,Nursery and early years roles working with under-5s under the EYFS framework.,https://www.gloucestershire.gov.uk/education-and-families/careers,2026-07-20,active,verified
OPP019,GLC022,Hotel Chef / Front of House Apprentice,apprenticeship,Level 2-3,Kitchen or guest-facing hotel roles with structured hospitality training.,https://www.hilton.com/careers,2026-07-20,active,verified
OPP020,GLC023,Pub & Restaurant Hospitality Apprentice,apprenticeship,Level 2-3,Chef waiting bar or hospitality supervisor pathways in pubs and inns.,https://www.greeneking.co.uk/careers,2026-07-20,active,verified
OPP021,GLC024,Cotswolds Hotel / Restaurant Apprentice,apprenticeship,Level 2-3,Independent hotel and restaurant apprenticeships in tourism-heavy Cotswold towns.,https://www.findapprenticeship.service.gov.uk/careers,2026-07-20,active,verified
OPP022,GLC025,Plumbing & Domestic Heating Apprentice,apprenticeship,Level 3,Install and maintain plumbing and heating systems; pathway to qualified plumber / heating engineer.,https://www.findapprenticeship.service.gov.uk/careers,2026-07-20,active,verified
OPP023,GLC027,Installation / Maintenance Electrician Apprentice,apprenticeship,Level 3,Electrotechnical apprenticeship toward qualified electrician status in domestic or commercial settings.,https://www.findapprenticeship.service.gov.uk/careers,2026-07-20,active,verified
OPP024,GLC026,Bricklaying / Site Trade Apprentice,apprenticeship,Level 2-3,Housebuilding site apprenticeships such as bricklaying joinery or groundworks.,https://www.barrattdevelopments.co.uk/careers,2026-07-20,active,verified
OPP025,GLC025,Carpentry & Joinery Apprentice,apprenticeship,Level 2-3,Site carpenter or bench joiner routes with contractors and housebuilders.,https://www.findapprenticeship.service.gov.uk/careers,2026-07-20,active,verified
OPP026,GLC025,Scaffolding / Groundworks Apprentice,apprenticeship,Level 2,Outdoor construction support trades — scaffolding or groundworks with civils and housebuilders.,https://www.findapprenticeship.service.gov.uk/careers,2026-07-20,active,verified
